,i_x,i_y,i_z,t_x,t_y,t_z,r1,r2,r3,r1dot,r2dot,r3dot,u1,u2,u3,t
21,-34536.74042009405,16699.02694216495,9979.172849231374,16388.38180716099,45300.05588002132,-13391.260554001248,-44167.035594,13574.347242,11838.235279,-0.43859769007,-2.3272546136,-0.3068028249,3.1359528305e-05,5.4049242997e-05,-3.3127747399e-08,16833.66733466934
22,-33883.10554733411,15001.50220356214,9521.238297533739,16593.151852412724,45817.88173098887,-11197.72315964492,-44429.696428,11645.597012,11563.957631,-0.32766938989,-2.4061159116,-0.34216136521,2.8290849804e-05,5.4692087153e-05,7.2865958453e-07,17635.270541082165
23,-33074.27344649665,13235.387210120381,9019.716734486625,16763.927963034268,46241.84174640723,-8981.24533695641,-44598.551009,9657.5655643,11260.957315,-0.21064608991,-2.4800692313,-0.37799289536,2.5224943892e-05,5.5181875944e-05,1.4696062091e-06,18436.873747494992
24,-32094.43379496785,11401.000855916267,8471.59089986318,16900.360280437795,46571.06738589756,-6746.367878649704,-44668.680402,7614.6023631,10928.910947,-0.087486418309,-2.5485965935,-0.41422784297,2.2165637354e-05,5.5518275158e-05,2.1890073734e-06,19238.476953907815
25,-30924.03778527092,9499.140622900923,7873.208604417373,17002.169308243352,46804.88419696124,-4497.669265577506,-44635.162229,5521.5065812,10567.562807,0.041813921368,-2.6111369878,-0.45078180544,1.9117309475e-05,5.5700698053e-05,2.8859949979e-06,20040.080160320642
26,-29538.45654364796,7531.48600850562,7220.10000598745,17069.14646955209,46942.813156472635,-2239.7563780835662,-44493.107095,3383.5616505,10176.738141,0.17721378003,-2.6670863012,-0.48755377087,1.6084949532e-05,5.5728380291e-05,3.5595371318e-06,20841.68336673347
27,-27905.947086049302,5501.317826393157,6506.721537401933,17101.154531103475,46984.57164201563,22.745009313609785,-44237.702695,1206.5689555,9756.3579678,0.31861698808,-2.715798387,-0.5244242658,1.3074216234e-05,5.5600465735e-05,4.2084384221e-06,21643.28657314629
28,-25984.43573974564,3414.864747201553,5726.09167988858,17098.1279275464,46930.07412752686,2285.1997948989692,-43864.266562,-1003.1205536,9306.4553688,0.46586157692,-2.7565876626,-0.56125349226,1.0091497236e-05,5.5316105809e-05,4.8313424105e-06,22444.88977955912
29,-23716.171854149747,1283.9799565082453,4869.270999917762,17060.072862057485,46779.43226778072,4542.972953949678,-43368.308343,-3238.5784149,8827.1932097,0.61870787748,-2.7887336819,-0.59787954352,7.1439660737e-06,5.4874575112e-05,5.42673663e-06,23246.492985971945
30,-21018.278577750763,-868.0942298880908,3924.644499407225,16987.067297257236,46532.95467928101,6791.439050176799,-42745.60238,-5492.2763635,8318.8831328,0.77682568885,-2.8114881908,-0.63411682089,4.2396328915e-06,5.4275405787e-05,5.9929616527e-06,24048.09619238477
